,lr,loss,accuracy,auc,experiment
0,0.0584434,1.85775,0.256662,0.643663,paper_train
1,0.0226579,2.29116,0.244039,0.709512,paper_train
2,0.0105573,1.75265,0.373072,0.82136,paper_train
3,0.000327167,1.32328,0.677419,0.853235,paper_train
4,0.0114619,2.4111,0.322581,0.772518,paper_train
5,0.00734139,2.90553,0.31136,0.696395,paper_train
6,0.000486937,1.78471,0.670407,0.842396,paper_train
7,0.0207222,1.84175,0.298738,0.741106,paper_train
8,0.00317223,1.94648,0.701262,0.843063,paper_train
9,0.00232139,2.29374,0.70547,0.849876,paper_train
10,0.00428323,2.17486,0.669004,0.811636,paper_train
11,0.00163967,2.6893,0.695652,0.833866,paper_train
12,0.000613775,1.85962,0.670407,0.842199,paper_train
13,0.0239577,2.11225,0.339411,0.77624,paper_train
14,0.00138226,2.32957,0.702665,0.839712,paper_train
15,0.00699151,1.52084,0.524544,0.898685,custom_train
16,0.092851,1.80305,0.298738,0.686164,custom_train
17,0.000458707,0.502031,0.830295,0.982677,custom_train
18,0.0648787,1.92944,0.287518,0.714933,custom_train
19,0.0759743,1.96932,0.27209,0.63062,custom_train
20,0.0923981,1.97491,0.259467,0.668551,custom_train
21,0.0128644,1.9112,0.338008,0.754707,custom_train
22,0.000238847,0.807854,0.978398,1.0,custom_train
23,0.477229,0.870968,0.987,1.0,custom_train
24,1.89036,0.360449,0.75735,1.0,custom_train
25,1.46321,0.437588,0.865737,1.0,custom_train
26,0.409537,0.816919,1.0,0.000293762,custom_train
27,0.816269,0.981529,1.0,0.00066666,custom_train
28,0.837307,0.983119,1.0,0.00457863,custom_train
29,0.447405,0.841079,1.0,0.00423210, custom_train
30,0.0500438,1.79605,0.242637,0.5,paper_random
31,0.0500438,1.79605,0.242637,0.5,paper_random
32,0.019842,1.78244,0.242637,0.5,paper_random
33,0.0115775,1.7703,0.242637,0.5,paper_random
34,0.0232757,1.78592,0.242637,0.5,paper_random
35,0.000121817,0.658706,0.748948,0.967837,custom_random
36,0.000671982,0.559291,0.87237,0.984121,custom_random
37,0.000114491,0.648582,0.776999,0.966788,custom_random
38,0.000276946,0.539897,0.792426,0.980058,custom_random
39,0.0208598,1.68439,0.380084,0.806314,custom_random
40,0.0310181,1.58744,0.409537,0.784162,custom_random
41,0.0977261,1.87533,0.309958,0.656718,custom_random
42,0.00148388,0.534138,0.868163,0.986932,custom_random
43,0.0156419,1.61466,0.381487,0.804629,custom_random
44,0.000824211,0.559892,0.870968,0.987004,custom_random
45,0.0072408,2.40264,0.304348,0.708828,custom_random
46,0.0130844,1.7515,0.374474,0.77407,custom_random
47,0.0139923,1.9557,0.29453,0.672342,custom_random
48,0.0418362,2.00379,0.342216,0.741363,custom_random
49,0.00251539,0.491047,0.863955,0.988506,custom_random
